"filename", "language", "TypeScript", "JSON with Comments", "YAML", "Markdown", "JSON", "Docker", "JavaScript", "comment", "blank", "total"
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/hears/Profile.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/hears/Rules.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/hears/Store.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 9, 40
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/handlers/hears/Wallet.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/Coinbase.ts", "TypeScript", 307, 0, 0, 0, 0, 0, 0, 87, 18, 412
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/bot.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/constant.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/env.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 2, 5, 18
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/errorHanlder.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/i18n.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/launch.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 3, 7, 45
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/sendOptions.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/session.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/helpers/startMongo.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/menus/language.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 11, 44
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/middlewares/attachUser.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/middlewares/configurefluent.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 1, 4, 18
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/models/Categories.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 5, 13, 80
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/models/Context.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/models/Items.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 7, 18, 105
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/src/models/User.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 11, 57
"/Users/waheguru-ji/Projects/Nodejs Apps/Telegram Related /Tg Bots/store shopping bots/CERTII-Games-Code-storeTGBot/tsconfig.json", "JSON with Comments", 0, 17, 0, 0, 0, 0, 0, 8, 0, 25
"Total", "-", 1058, 70, 16, 19, 66, 8, 541, 309, 257, 2344
